이름,카테고리,가격,단위,정규이름
[KF365] 간편한 6가지 해물 모듬,수산_해산_건어물,7990,기타,[kf365]간편한6가지해물모듬
One-Frozen 노르웨이 고등어 3종 (냉동) (택1),수산_해산_건어물,8900,기타,one-frozen노르웨이고등어3종(냉동)(택1)
[만전김X컬리] 갓구운 만전김 16봉,수산_해산_건어물,4790,16봉,[만전김x컬리]갓구운만전김
[쌜모네키친] 오로라 생연어 2종 (냉장),수산_해산_건어물,12900,기타,[쌜모네키친]오로라생연어2종(냉장)
[포트'럭] 서해안 봄 암꽃게 1kg (3~4미)(생물),수산_해산_건어물,48900,1kg,[포트'럭]서해안봄암꽃게(3~4미)(생물)
[우물우물] 바른 진미 오징어채,수산_해산_건어물,11490,기타,[우물우물]바른진미오징어채
[KF365] 노르웨이 생연어 스테이크 200g (냉장),수산_해산_건어물,12900,200g,[kf365]노르웨이생연어스테이크(냉장)
[우오가시] 민물 양념장어,수산_해산_건어물,28990,기타,[우오가시]민물양념장어
[하남주꾸미] 주꾸미 볶음 2종 (택1),수산_해산_건어물,10900,기타,[하남주꾸미]주꾸미볶음2종(택1)
[연안식당] 꼬막 비빔장 2종 (택1),수산_해산_건어물,5500,기타,[연안식당]꼬막비빔장2종(택1)
[모현상회] 간장 생연어장 2종 (택1),수산_해산_건어물,10500,기타,[모현상회]간장생연어장2종(택1)
[Ozen] 훈제연어 슬라이스 180g 3종 (냉장) (택1),수산_해산_건어물,14900,180g,[ozen]훈제연어슬라이스3종(냉장)(택1)
[KF365] 완도 전복 5종 (생물) (택1),수산_해산_건어물,7900,기타,[kf365]완도전복5종(생물)(택1)
껍질벗긴 프리미엄 붉은 생새우살 300g (냉동),수산_해산_건어물,13800,300g,껍질벗긴프리미엄붉은생새우살(냉동)
[오봉집] 시원한 낙지 연포탕,수산_해산_건어물,13900,기타,[오봉집]시원한낙지연포탕
[포트'럭] 국산 손질 생새우살 2종 (택1) (냉동),수산_해산_건어물,7490,기타,[포트'럭]국산손질생새우살2종(택1)(냉동)
[KF365] 국산 손질 꽃게 2종 (냉동),수산_해산_건어물,10400,기타,[kf365]국산손질꽃게2종(냉동)
[제주창해] 제주 손질 고등어살 4종 (냉동) (택1),수산_해산_건어물,5900,기타,[제주창해]제주손질고등어살4종(냉동)(택1)
[만전김] 두번구워 더욱 바삭한 만전 김밥용김,수산_해산_건어물,2800,기타,[만전김]두번구워더욱바삭한만전김밥용김
[KF365] 두툼한 국산 손질오징어 600g (냉동),수산_해산_건어물,19900,600g,[kf365]두툼한국산손질오징어(냉동)
[KF365] 간편한 손질오징어 600g (냉동),수산_해산_건어물,12170,600g,[kf365]간편한손질오징어(냉동)
[어굼터] 순살 고등어구이 2종 (택1),수산_해산_건어물,3600,기타,[어굼터]순살고등어구이2종(택1)
[Kurly's] 순살 생선 4종 (택1),수산_해산_건어물,11900,기타,[kurly's]순살생선4종(택1)
[KF365] 명인 명란 2종 (택1),수산_해산_건어물,5800,기타,[kf365]명인명란2종(택1)
[KF365] 제주토막갈치 3종 (냉동) (택1),수산_해산_건어물,14290,기타,[kf365]제주토막갈치3종(냉동)(택1)
"간편한 손질 가리비 관자살 500g (중,냉동)",수산_해산_건어물,10990,500g,"간편한손질가리비관자살(중,냉동)"
[건어물상회] 통영 어린이멸치 200g,수산_해산_건어물,6790,200g,[건어물상회]통영어린이멸치
[오봉집] 주꾸미 볶음 2종 (택1),수산_해산_건어물,7550,기타,[오봉집]주꾸미볶음2종(택1)
[기장물산] 해녀가 인정한 기장미역,수산_해산_건어물,7590,기타,[기장물산]해녀가인정한기장미역
[해찬미소] 남도식 된장 꽃게탕,수산_해산_건어물,10900,기타,[해찬미소]남도식된장꽃게탕
[주전부리마켓] 내맘속에 구운 오징어,수산_해산_건어물,8700,기타,[주전부리마켓]내맘속에구운오징어
[KF365] 노르웨이 생연어회 400g (냉장),수산_해산_건어물,28500,400g,[kf365]노르웨이생연어회(냉장)
[바다해] 쫄깃 진미채 200g,수산_해산_건어물,13900,200g,[바다해]쫄깃진미채
[Sea to Table] 손질 왕 흰다리새우 300g (냉동) (16/20 사이즈),수산_해산_건어물,10573,300g,[seatotable]손질왕흰다리새우(냉동)(16/20사이즈)
[속초해품] 백명란젓 400g,수산_해산_건어물,15400,400g,[속초해품]백명란젓
[동광젓갈] 백명란젓,수산_해산_건어물,7980,기타,[동광젓갈]백명란젓
[KF365] 노르웨이 생연어횟감 400g (냉장),수산_해산_건어물,26900,400g,[kf365]노르웨이생연어횟감(냉장)
[광천김] 광천 파래 도시락김 16봉,수산_해산_건어물,5900,16봉,[광천김]광천파래도시락김
[대흥] 간편하게 손질된 데친 참문어 400g (냉장),수산_해산_건어물,27900,400g,[대흥]간편하게손질된데친참문어(냉장)
어린이 순살 생선 3종 (택1) (냉동),수산_해산_건어물,12900,기타,어린이순살생선3종(택1)(냉동)
[만선] 손질 전복살 3종 (택1) (냉동),수산_해산_건어물,18990,기타,[만선]손질전복살3종(택1)(냉동)
[Sea to Table] 볶음밥용 손질 새우살 200g (냉동) (91/120 사이즈),수산_해산_건어물,6072,200g,[seatotable]볶음밥용손질새우살(냉동)(91/120사이즈)
[주전부리마켓] 내맘속에 국산 오징어 90g,수산_해산_건어물,16900,90g,[주전부리마켓]내맘속에국산오징어
[KF365] 곱창 캔김 4종 (택1),수산_해산_건어물,4790,기타,[kf365]곱창캔김4종(택1)
[법성포참맛] 프리미엄 영광굴비180g (2마리) (냉동),수산_해산_건어물,10900,180g,[법성포참맛]프리미엄영광굴비(2마리)(냉동)
[포트'럭] 5가지 국산 해물모둠 300g (냉동),수산_해산_건어물,10900,300g,[포트'럭]5가지국산해물모둠(냉동)
[아라찬] 프리미엄 날치알 2종 (냉동),수산_해산_건어물,9060,기타,[아라찬]프리미엄날치알2종(냉동)
[이금선명인] 순살 간장양념 꽃게장 2종 (택1),수산_해산_건어물,14500,기타,[이금선명인]순살간장양념꽃게장2종(택1)
