이름,카테고리,가격,단위,정규이름
[밀도] 리치식빵,베이커리,6800,기타,[밀도]리치식빵
[복음자리] 딸기잼 500g,베이커리,7480,500g,[복음자리]딸기잼
[크리스피크림도넛] 미니 오리지널 글레이즈드 (16개입),베이커리,15500,16개,[크리스피크림도넛]미니오리지널글레이즈드(입)
[플랜티] 100% 피넛버터 375g 2종 (택1),베이커리,8980,375g,[플랜티]100%피넛버터2종(택1)
[마담로익] 크림치즈 3종,베이커리,11900,기타,[마담로익]크림치즈3종
[아이엠베이글] 베이글 5종 (3개입) (택1),베이커리,8910,3개,[아이엠베이글]베이글5종(입)(택1)
[브레댄코] 봉주르 카스테라 2종 (택1),베이커리,10800,기타,[브레댄코]봉주르카스테라2종(택1)
[도쿄바나나] 바나나 빵 8개입,베이커리,24900,8개,[도쿄바나나]바나나빵입
[그녀의빵공장] 햄치즈 야채 모닝빵 (35gX6입),베이커리,5610,35g,[그녀의빵공장]햄치즈야채모닝빵(x)
[타쿠미야] 고급생식빵,베이커리,11000,기타,[타쿠미야]고급생식빵
[선물세트] 올드페리도넛 고메도넛 8구세트,베이커리,23300,기타,[선물세트]올드페리도넛고메도넛8구세트
[그래인스 쿠키] 샤르망,베이커리,23000,기타,[그래인스쿠키]샤르망
[크리스피크림도넛] 오리지널 글레이즈드 (3개입),베이커리,5400,3개,[크리스피크림도넛]오리지널글레이즈드(입)
[외계인방앗간] 우리쌀 모닝빵 3종,베이커리,7500,기타,[외계인방앗간]우리쌀모닝빵3종
[널담] 고단백 배꼽베이글 4개입 7종 (택1),베이커리,7920,4개,[널담]고단백배꼽베이글입7종(택1)
[파스키에] 슬라이스 브리오슈 (500g),베이커리,8980,500g,[파스키에]슬라이스브리오슈()
[마이노멀] 100% 무가당 땅콩버터 250g 2종 (택1),베이커리,11980,250g,[마이노멀]100%무가당땅콩버터2종(택1)
[몽샹82] 올인원 누가 크래커 16pcs,베이커리,21500,기타,[몽샹82]올인원누가크래커16pcs
[폴 바셋] Nata 포르투갈 에그타르트 (오리지널),베이커리,8900,기타,[폴바셋]nata포르투갈에그타르트(오리지널)
[노아베이커리] 블루베리번,베이커리,4700,기타,[노아베이커리]블루베리번
[블랑제리코팡] 바게트,베이커리,5200,기타,[블랑제리코팡]바게트
[도제] 탕종 통밀식빵 440g,베이커리,6700,440g,[도제]탕종통밀식빵
진짜 아보카도 퓨레 100g*2입,베이커리,7000,100g,진짜아보카도퓨레*
[교토마블] 통밀 데니쉬 식빵 (460g),베이커리,6800,460g,[교토마블]통밀데니쉬식빵()
[다보] 과일함량 70% 과일잼 5종,베이커리,5480,기타,[다보]과일함량70%과일잼5종
[샹달프] 과일잼 5종 (택1),베이커리,5830,기타,[샹달프]과일잼5종(택1)
[그래인스 쿠키] 베이커스초이스,베이커리,17000,기타,[그래인스쿠키]베이커스초이스
[나폴레옹] 구로칸토슈니탱,베이커리,27800,기타,[나폴레옹]구로칸토슈니탱
[그래인스 쿠키] 콜렉션,베이커리,35000,기타,[그래인스쿠키]콜렉션
[폴 바셋] 콜드브루 원액 디카페인 300mL,베이커리,21900,기타,[폴바셋]콜드브루원액디카페인
[밀도] The 잡곡식빵,베이커리,8900,기타,[밀도]the잡곡식빵
[우드앤브릭] 호밀빵 3종,베이커리,6300,기타,[우드앤브릭]호밀빵3종
[오설록] 그린티 랑드샤 10입,베이커리,14000,10입,[오설록]그린티랑드샤
[포비베이글] 베이글 5종 (택1),베이커리,2880,기타,[포비베이글]베이글5종(택1)
[퀸즈트리] 100% 땅콩버터 500g 2종 (택1),베이커리,8590,500g,[퀸즈트리]100%땅콩버터2종(택1)
MY FIRST 처음 만나는 식빵 424g,베이커리,5550,424g,myfirst처음만나는식빵
[프로밀크] 터키 카이막 크림치즈 180g,베이커리,9900,180g,[프로밀크]터키카이막크림치즈
[아르토스베이커리] 통밀 모닝빵,베이커리,4950,기타,[아르토스베이커리]통밀모닝빵
[제일맞게컬리] 츄러스 350g(2종/택1),베이커리,5980,350g,[제일맞게컬리]츄러스(2종/택1)
[선물세트] PNB 미니초코파이 선물세트,베이커리,24500,기타,[선물세트]pnb미니초코파이선물세트
[삼립] KBO빵 9종 (택1),베이커리,1600,기타,[삼립]kbo빵9종(택1)
[픽어베이글] 베이글 8종 (택1),베이커리,3100,기타,[픽어베이글]베이글8종(택1)
[캐치! 티니핑] 하츄핑의 슈크림 만쥬 150g (띠부씰 50종 중 1종 랜덤),베이커리,7565,150g,[캐치!티니핑]하츄핑의슈크림만쥬(띠부씰50종중1종랜덤)
[소다미] 하동 매실원액 2종 (500ml/1000ml),베이커리,8200,500ml,[소다미]하동매실원액2종(/)
[알라] 포션 크림치즈 6개입,베이커리,3900,6개,[알라]포션크림치즈입
[더 트러플베이커리] 티슈 브레드 140g,베이커리,7900,140g,[더트러플베이커리]티슈브레드
[도제] 클래식 베이글 4종 (택1),베이커리,3400,기타,[도제]클래식베이글4종(택1)
[선물세트] 나폴레옹 미니 쿠키 6종 세트,베이커리,46900,기타,[선물세트]나폴레옹미니쿠키6종세트
[사층빵집] 까눌레 9종 (2개입)(택1),베이커리,5500,2개,[사층빵집]까눌레9종(입)(택1)
[테디] 100% 땅콩버터 454g 2종,베이커리,14800,454g,[테디]100%땅콩버터2종
[메이플조] 메이플시럽 3종,베이커리,6910,기타,[메이플조]메이플시럽3종
[사층빵집] 부드러운 쿠키 5종 (택 1),베이커리,6500,기타,[사층빵집]부드러운쿠키5종(택1)
[선물세트] 신라명과 마드렌 세트 (14gX30개입),베이커리,16900,14g,[선물세트]신라명과마드렌세트(x입)
[나폴레옹] 쇼콜라비스큐슈니탱,베이커리,25854,기타,[나폴레옹]쇼콜라비스큐슈니탱
[고메공방] 계란빵 2종 (5개입) (택1),베이커리,12500,5개,[고메공방]계란빵2종(입)(택1)
[필라델피아] 포션 크림치즈,베이커리,4700,기타,[필라델피아]포션크림치즈
[이즈니] AOP 버터 2종,베이커리,11880,기타,[이즈니]aop버터2종
[근대골목단팥빵] 옛날 미니맘모스빵,베이커리,4000,기타,[근대골목단팥빵]옛날미니맘모스빵
[헬카페] 콜드브루 500mL,베이커리,14000,기타,[헬카페]콜드브루
[신라명과] 마드렌 (15gX10개입),베이커리,5355,15g,[신라명과]마드렌(x입)
[마루와유지] 빵에 발라 구워먹는 일본 스프레드 3종 (택1),베이커리,6300,기타,[마루와유지]빵에발라구워먹는일본스프레드3종(택1)
[밀도] THE 부드러운 소금빵 2개입,베이커리,6000,2개,[밀도]the부드러운소금빵입
